method,seq_len,sample_id,ppl
ALiBi_trained,1024,4,7.990604246136394
ALiBi_trained,1024,5,10.63538875389461
ALiBi_trained,1024,6,9.51564529251355
ALiBi_trained,1024,7,10.990510964224812
ALiBi_trained,1024,8,9.494743999975436
ALiBi_trained,1024,9,12.489621909418135
ALiBi_trained,1024,10,7.707149092381802
ALiBi_trained,1024,11,8.887522043213723
ALiBi_trained,1024,12,8.349575848978793
ALiBi_trained,1024,13,12.029126455909294
ALiBi_trained,1024,14,9.773212303016095
ALiBi_trained,1024,15,13.944934704787782
ALiBi_trained,1024,16,8.238150411574786
ALiBi_trained,1024,17,8.603174981696288
ALiBi_trained,1024,18,9.800853865680802
ALiBi_trained,1024,19,10.660546995297235
ALiBi_trained,1024,20,9.861592351515533
ALiBi_trained,1024,21,6.251910227741728
ALiBi_trained,1024,22,12.895738719476627
ALiBi_trained,1024,23,9.681403962821953
ALiBi_trained,1024,24,8.841313853451753
ALiBi_trained,1024,25,11.83058191096166
ALiBi_trained,1024,26,7.217124769012885
ALiBi_trained,1024,27,8.558739011041066
ALiBi_trained,1024,28,10.478608662733214
ALiBi_trained,1024,29,11.32803272747785
ALiBi_trained,1024,30,11.266116257343366
ALiBi_trained,1024,31,11.057991945122273
ALiBi_trained,1024,32,8.961420846615985
ALiBi_trained,1024,33,8.575183356351376
ALiBi_trained,1024,34,14.014755391446034
ALiBi_trained,1024,35,10.101983016663464
ALiBi_trained,1024,36,7.8628774255988025
ALiBi_trained,1024,37,10.900266839159485
ALiBi_trained,1024,38,6.359567973550387
ALiBi_trained,1024,39,9.384997251399271
ALiBi_trained,1024,40,8.735884714680106
ALiBi_trained,1024,41,10.682157836199863
ALiBi_trained,1024,42,11.424234068851755
ALiBi_trained,1024,43,7.352951590121807
ALiBi_trained,1024,44,9.550772831994168
ALiBi_trained,1024,45,9.861874497971987
ALiBi_trained,1024,46,8.718446219653577
ALiBi_trained,1024,47,9.256579947537334
ALiBi_trained,1024,48,9.038890341245189
ALiBi_trained,1024,49,9.004599911258524
ALiBi_trained,1024,50,12.073679459561733
ALiBi_trained,1024,51,12.431331768741138
ALiBi_trained,1024,52,7.690154190105016
ALiBi_trained,1024,53,12.75001521556129
ALiBi_trained,1024,54,9.900661621758895
ALiBi_trained,1024,55,13.237220653371011
ALiBi_trained,1024,56,10.035236146585808
ALiBi_trained,1024,57,10.004910563585245
ALiBi_trained,1024,58,8.982379422232214
ALiBi_trained,1024,59,7.460549053365325
ALiBi_trained,1024,60,7.650078359702876
ALiBi_trained,1024,61,8.353538269975601
ALiBi_trained,1024,62,8.98487469330818
ALiBi_trained,1024,63,16.5671793662036
ALiBi_trained,1024,64,10.235349717507614
ALiBi_trained,1024,65,11.804590188053648
ALiBi_trained,1024,66,8.035881206062985
ALiBi_trained,1024,67,7.274971167747739
ALiBi_trained,1024,68,8.723099456316527
ALiBi_trained,1024,69,8.325983685831192
ALiBi_trained,1024,70,9.305575238009455
ALiBi_trained,1024,71,10.28495388376727
ALiBi_trained,1024,72,8.90256235126794
ALiBi_trained,1024,73,10.250412545436483
ALiBi_trained,1024,74,12.442151601434837
ALiBi_trained,1024,75,10.83722043356125
ALiBi_trained,1024,76,8.695737607103908
ALiBi_trained,1024,77,7.99204844888253
ALiBi_trained,1024,78,10.733098256125388
ALiBi_trained,1024,79,7.406791123928345
ALiBi_trained,1024,80,8.423250091797657
ALiBi_trained,1024,81,12.304856600282209
ALiBi_trained,1024,82,11.88866542193082
ALiBi_trained,1024,83,9.292016033900126
ALiBi_trained,1024,84,11.150881730643016
ALiBi_trained,1024,85,8.10247654835361
ALiBi_trained,1024,86,6.644812654144216
ALiBi_trained,1024,87,6.193286136656712
ALiBi_trained,1024,88,9.877793566488062
ALiBi_trained,1024,89,11.403633879468693
ALiBi_trained,1024,90,7.6426513139055325
ALiBi_trained,1024,91,10.032078428997725
ALiBi_trained,1024,92,11.167622052692865
ALiBi_trained,1024,93,8.714983893819877
ALiBi_trained,1024,94,9.795109590497297
ALiBi_trained,1024,95,10.185758940737626
ALiBi_trained,1024,96,11.046316089033859
ALiBi_trained,1024,97,8.851671977647056
ALiBi_trained,1024,98,8.575167000502724
ALiBi_trained,1024,99,7.86945084127951
ALiBi_trained,2048,0,8.113276599976455
ALiBi_trained,2048,1,5.451751418588874
ALiBi_trained,2048,2,7.497100558582035
ALiBi_trained,2048,3,8.489869057996472
ALiBi_trained,2048,4,7.6312604402088695
ALiBi_trained,2048,5,9.507053044658141
ALiBi_trained,2048,6,9.892327839247528
ALiBi_trained,2048,7,9.124196771978479
ALiBi_trained,2048,8,8.761889576449722
ALiBi_trained,2048,9,10.049436616354761
ALiBi_trained,2048,10,7.757016686440818
ALiBi_trained,2048,11,8.486260778882306
ALiBi_trained,2048,12,9.52463361320582
ALiBi_trained,2048,13,9.619116884153897
ALiBi_trained,2048,14,10.139405594795488
ALiBi_trained,2048,15,11.815509608830846
ALiBi_trained,2048,16,5.45861217073605
ALiBi_trained,2048,17,8.599824044323483
ALiBi_trained,2048,18,8.958697134857081
ALiBi_trained,2048,19,10.65055274354219
